Model,R2,RMSE,MAE
Random Forest Regressor,0.9996774303480966,0.17414378599610789,0.029370748299319713
Gradient Boosting Regressor,0.9995499902984621,0.20568715329618065,0.04222839939546877
Polynomial Regression (deg=2),0.9992845190291144,0.25935538704448663,0.19765453648810483
Decision Tree Regressor,0.9988855464042169,0.3236884658066999,0.05927410646798401
Linear Regression,0.9970292374588293,0.5284819987561615,0.37188498185710056
Ridge Regression,0.9968664826722794,0.5427655561681247,0.37927423423244006
Lasso Regression,0.9965429742106143,0.5700954029018245,0.38674841638518015
ElasticNet Regression,0.995398508779025,0.6577267848943398,0.4405234813106283
KNN Regressor,0.9939787300762709,0.7523852578883095,0.4567541302235181
Support Vector Regressor,0.9939642396220504,0.7532900381816823,0.42188653648370195
Polynomial Regression (deg=3),0.9853837233269691,1.1722347914038904,0.23735983414594464
